timestamp,symbol,price,volume,bidPrice,askPrice
2026-06-09T09:15:00,AAPL,100.00,1000,99.95,100.05
2026-06-09T09:15:01,MSFT,420.00,900,419.95,420.05
2026-06-09T09:15:02,GOOG,180.00,850,179.95,180.05
2026-06-09T09:15:03,AAPL,100.20,1200,100.15,100.25
2026-06-09T09:15:04,MSFT,420.40,950,420.35,420.45
2026-06-09T09:15:05,GOOG,179.80,880,179.75,179.85
2026-06-09T09:15:06,AAPL,99.80,900,99.75,99.85
2026-06-09T09:15:07,MSFT,419.90,1100,419.85,419.95
2026-06-09T09:15:08,GOOG,180.30,910,180.25,180.35
2026-06-09T09:15:09,AAPL,100.10,1300,100.05,100.15
2026-06-09T09:15:10,MSFT,421.00,1400,420.95,421.05
2026-06-09T09:15:11,GOOG,180.60,1000,180.55,180.65
2026-06-09T09:15:12,AAPL,100.50,1500,100.45,100.55
2026-06-09T09:15:13,MSFT,420.70,980,420.65,420.75
2026-06-09T09:15:14,GOOG,181.00,1050,180.95,181.05
2026-06-09T09:15:15,AAPL,100.40,1100,100.35,100.45
2026-06-09T09:15:16,MSFT,421.20,1250,421.15,421.25
2026-06-09T09:15:17,GOOG,180.70,970,180.65,180.75
2026-06-09T09:15:18,AAPL,100.90,1700,100.85,100.95
2026-06-09T09:15:19,MSFT,421.60,1350,421.55,421.65
2026-06-09T09:15:20,GOOG,181.20,1200,181.15,181.25
2026-06-09T09:15:21,AAPL,101.10,1600,101.05,101.15
2026-06-09T09:15:22,MSFT,421.10,1000,421.05,421.15
2026-06-09T09:15:23,GOOG,181.50,1150,181.45,181.55
2026-06-09T09:15:24,AAPL,100.70,1450,100.65,100.75
2026-06-09T09:15:25,MSFT,420.80,1120,420.75,420.85
2026-06-09T09:15:26,GOOG,181.10,1080,181.05,181.15
2026-06-09T09:15:27,AAPL,101.30,1750,101.25,101.35
2026-06-09T09:15:28,MSFT,422.00,1500,421.95,422.05
2026-06-09T09:15:29,GOOG,181.80,1300,181.75,181.85
